One,Two,Three,a
0.085796097,2.39E-06,-3.240077345,0.426
0.092623812,-1.02E-05,-3.241546801,0.427
0.090785133,4.77E-06,-3.244208755,0.428
0.096833666,5.19E-06,-3.24424191,0.429
1.35E-05,-0.031698159,-3.179132171,0.43
0.099984297,3.14E-06,-3.255475089,0.431
0.101980623,1.06E-05,-3.262690715,0.432
0.106613249,1.39E-05,-3.267225795,0.433
0.10792989,2.09E-05,-3.272177223,0.434
0.106826077,-1.93E-06,-3.27095769,0.435
0.107989361,7.62E-06,-3.263338775,0.436
0.108004982,-4.02E-05,-3.264719761,0.437
0.108533648,1.69E-06,-3.262080124,0.438
0.110691982,-8.91E-07,-3.252361824,0.439
0.109344521,-3.62E-05,-3.254250033,0.44
0.110120473,7.43E-06,-3.244802742,0.441
0.112134099,3.80E-06,-3.253708188,0.442
0.108795745,3.70E-06,-3.240639876,0.443
0.096065875,-5.10E-06,-3.220300643,0.444
0.10847498,-4.18E-06,-3.240761727,0.445
0.110667435,1.08E-05,-3.231856375,0.446
0.109401015,-2.13E-05,-3.215404368,0.447
0.114482242,1.97E-06,-3.215953632,0.448
0.113860436,-5.25E-06,-3.212675198,0.449
0.113203378,2.15E-05,-3.208942619,0.45
0.117517008,2.87E-06,-3.203338137,0.451
0.116952027,-7.54E-07,-3.20527325,0.452
0.118440697,-9.19E-06,-3.207947875,0.453
0.120428754,7.10E-06,-3.208158412,0.454
0.119716655,1.38E-05,-3.197742642,0.455
0.119082445,1.55E-05,-3.191374159,0.456
0.112431817,-1.22E-06,-3.175148565,0.457
-8.18E-06,-0.201825606,-2.773253996,0.458
-3.42E-06,-0.012176086,-2.955689194,0.459
0.027158522,-2.45E-06,-2.992401927,0.46
0.099302437,1.25E-05,-3.122924221,0.461
0.11096887,-2.03E-05,-3.134726726,0.462
0.114513733,5.30E-06,-3.142944471,0.463
0.11776126,3.74E-06,-3.153726151,0.464
0.119475741,3.71E-06,-3.14892468,0.465
0.123894416,1.68E-06,-3.145171876,0.466
0.119243633,2.19E-06,-3.119593626,0.467
0.126107158,1.48E-05,-3.12733301,0.468
0.126471221,-2.82E-05,-3.126045337,0.469
0.125309083,-3.33E-05,-3.114447876,0.47
-1.69E-05,-0.117852278,-2.783095239,0.471
0.121719425,-1.41E-06,-3.096872,0.472
0.126624726,-7.06E-06,-3.107894081,0.473
0.126619066,-2.51E-05,-3.098473812,0.474
0.129563396,1.30E-06,-3.101808938,0.475
0.12804716,4.58E-06,-3.09268805,0.476
0.130554692,1.75E-06,-3.101271849,0.477
0.132419047,2.44E-06,-3.113777327,0.478
0.134574403,-4.69E-06,-3.10689542,0.479
0.135393396,-3.80E-06,-3.101897837,0.48
0.135636521,-8.61E-07,-3.096162018,0.481
0.132614843,-5.76E-06,-3.077466026,0.482
0.129011955,1.60E-05,-3.059805364,0.483
0.132286946,7.04E-06,-3.065263929,0.484
0.134047038,8.69E-06,-3.051601221,0.485
0.127424502,2.37E-06,-3.022615469,0.486
0.133852901,-5.73E-06,-3.039147205,0.487
0.132477018,4.56E-05,-3.039578689,0.488
2.37E-05,-0.007301758,-2.84194988,0.489
0.123490125,-3.99E-07,-3.014897239,0.49
-9.40E-07,-0.085870502,-2.662370565,0.491
0.119744238,-4.74E-06,-2.978582668,0.492
0.123495347,2.03E-06,-2.981064166,0.493
0.122738495,1.54E-05,-2.964802171,0.494
0.127876049,-3.82E-06,-2.975387066,0.495
0.12703992,-4.47E-06,-2.960634208,0.496
0.125083521,-1.70E-06,-2.938119153,0.497
0.127345934,9.95E-06,-2.944190894,0.498
0.129044406,-1.13E-05,-2.943328513,0.499
0.124779454,1.48E-05,-2.915378948,0.5
-1.19E-05,-0.036633039,-2.522965022,0.501
-4.74E-06,-0.2912511,-2.251494281,0.502
-5.19E-07,-0.133655968,-2.39868917,0.503
-8.61E-06,-0.058535772,-2.465055207,0.504
-6.51E-06,-0.019408798,-2.496166639,0.505
1.01E-05,-0.016438715,-2.493266289,0.506
-6.28E-06,-0.103355974,-2.403730259,0.507
-4.75E-06,-0.006773896,-2.497564567,0.508
0.025426744,6.94E-06,-2.524854838,0.509
0.045676796,-1.84E-05,-2.544756621,0.51
0.057449639,-3.76E-07,-2.56848456,0.511
0.12880355,2.56E-06,-2.811581983,0.512
0.140133144,-3.82E-06,-2.849267564,0.513
0.138951295,-3.07E-06,-2.834447979,0.514
0.146402498,-1.56E-05,-2.847230961,0.515
0.144144109,-1.56E-05,-2.83177723,0.516
-9.46E-06,-0.025448461,-2.530100936,0.517
0.147432167,-5.11E-07,-2.843665999,0.518
0.148018838,-1.02E-05,-2.835488036,0.519
0.151029971,-5.01E-06,-2.842024264,0.52
0.153215746,-3.99E-06,-2.829861204,0.521
0.156018594,1.20E-05,-2.854475893,0.522
0.153049615,1.27E-06,-2.844976835,0.523
0.151109714,-4.64E-07,-2.833298021,0.524
0.155993257,-7.90E-06,-2.836919447,0.525
0.157475318,3.09E-07,-2.833267849,0.526
0.157818181,1.31E-05,-2.81245578,0.527
0.155018422,-3.50E-06,-2.804844851,0.528
0.150767598,3.57E-06,-2.791722993,0.529
0.157974266,-1.21E-05,-2.780898725,0.53
0.163630897,-2.24E-07,-2.804467968,0.531
0.16386594,-3.98E-06,-2.784564507,0.532
0.166160526,3.80E-06,-2.796224159,0.533
0.167830105,5.96E-07,-2.800428853,0.534
0.159638085,-1.12E-06,-2.78950838,0.535
0.162580761,-2.33E-05,-2.776116332,0.536
0.165224947,3.76E-06,-2.756671867,0.537
0.163063557,4.15E-06,-2.733515738,0.538
0.163419153,-2.29E-05,-2.717749009,0.539
0.166025458,-1.10E-05,-2.70912541,0.54
0.166424349,2.71E-06,-2.6854155,0.541
0.170940391,2.45E-05,-2.700845861,0.542
0.172010399,-6.73E-06,-2.68920259,0.543
0.175613849,1.84E-06,-2.684254268,0.544
4.27E-06,-0.016753486,-2.154170198,0.545
0.172649373,-2.95E-05,-2.629439526,0.546
0.167820546,2.09E-05,-2.594968361,0.547
0.16818599,1.60E-05,-2.595747293,0.548
0.171981866,-2.20E-05,-2.609053777,0.549
0.173689075,-1.62E-05,-2.587434313,0.55
